IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2023,true,,,,,,,,,,,,,326.9,,,202.5,,550.4,327 [203-550],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,MLI,Mali,Year,2023,true,,,,,,,,,,,,,3495,,,2545,,4738,3495 [2545-4738],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2023,true,,,,,,,,,,,,,34.93,,,21.44,,61.84,35 [21-62],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2023,true,,,,,,,,,,,,,3579,,,2363,,5665,3579 [2363-5665],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,NER,Niger,Year,2023,true,,,,,,,,,,,,,3839,,,2493,,6169,3839 [2493-6169],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,COM,Comoros,Year,2023,true,,,,,,,,,,,,,43.59,,,25.09,,75.15,44 [25-75],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2023,true,,,,,,,,,,,,,4460,,,3260,,6528,4460 [3260-6528],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,COG,Congo,Year,2023,true,,,,,,,,,,,,,456.5,,,272.3,,856.9,457 [272-857],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2023,true,,,,,,,,,,,,,4.9,,,2.72,,8.96,5 [3-9],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,DZA,Algeria,Year,2023,true,,,,,,,,,,,,,566.1,,,412.5,,783.9,566 [413-784],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,true,,,,,,,,,,,,,5682,,,4006,,8202,5682 [4006-8202],,,EN,2025-04-10T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,ZMB,Zambia,Year,2023,true,,,,,,,,,,,,,585.8,,,416.7,,860.7,586 [417-861],,,EN,2025-04-07T00:00:00.000Z
