"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cuba","CUB","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.636","26.324","26.173","26.023","25.873","25.723","25.574","25.382","25.145","24.911","24.677","24.445","24.215","24.053","23.959","23.866","23.773","23.68","23.587","23.495","23.403","23.311","23.219","23.173","23.139","23.104","23.07",
"Curacao","CUW","Rural population (% of total population)","SP.RUR.TOTL.ZS","15.322","15.053","14.556","13.776","13.031","12.32","11.642","10.998","10.385","9.80200000000001","9.248","8.989","9.10599999999999","9.22499999999999","9.345","9.46599999999999","9.589","9.71299999999999","9.839","9.96599999999999","10.095","10.225","10.346","10.456","10.557","10.648","10.728",
"Cayman Islands","CYM","Rural population (% of total population)","SP.RUR.TOTL.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Cyprus","CYP","Rural population (% of total population)","SP.RUR.TOTL.ZS","33.224","32.812","32.402","32.208","32.085","31.962","31.839","31.717","31.595","31.473","31.352","31.231","31.306","31.447","31.59","31.732","31.875","32.018","32.161","32.305","32.449","32.594","32.739","32.863","32.969","33.054","33.119",
"Czech Republic","CZE","Rural population (% of total population)","SP.RUR.TOTL.ZS","24.78","24.842","24.97","25.099","25.228","25.357","25.487","25.618","25.749","25.88","26.012","26.123","26.191","26.26","26.329","26.398","26.467","26.537","26.606","26.676","26.745","26.815","26.803","26.71","26.616","26.523","26.43",
"Germany","DEU","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.882","26.731","26.64","26.503","26.29","26.078","25.867","25.658","25.449","25.242","25.035","24.83","24.626","24.423","24.221","24.02","23.821","23.622","23.425","23.229","23.034","22.84","22.83","22.82","22.81","22.8","22.776",
"Djibouti","DJI","Rural population (% of total population)","SP.RUR.TOTL.ZS","24.043","23.886","23.839","23.793","23.746","23.7","23.653","23.607","23.561","23.515","23.468","23.422","23.376","23.33","23.284","23.239","23.193","23.147","23.101","23.056","23.001","22.936","22.862","22.778","22.686","22.583","22.472",
"Dominica","DMA","Rural population (% of total population)","SP.RUR.TOTL.ZS","36.921","35.518","35.431","35.344","35.256","35.169","35.082","34.995","34.908","34.821","34.735","34.618","34.311","34.006","33.701","33.399","33.097","32.797","32.498","32.201","31.906","31.611","31.315","31.018","30.72","30.421","30.12",
"Denmark","DNK","Rural population (% of total population)","SP.RUR.TOTL.ZS","15.157","15.129","15.102","15.075","15.048","15.021","14.994","14.967","14.94","14.914","14.9","14.85","14.75","14.64","14.434","14.144","13.902","13.707","13.513","13.346","13.205","13.043","12.858","12.708","12.59","12.474","12.358",
"Dominican Republic","DOM","Rural population (% of total population)","SP.RUR.TOTL.ZS","44.774","44.503","44.233","43.963","43.248","42.402","41.559","40.724","39.893","39.067","38.247","37.435","36.629","35.395","33.997","32.63","31.29","29.98","28.7","27.458","26.247","25.173","24.198","23.251","22.33","21.434","20.564",
