measure,country,sex,age,cause,metric,year,value,upper_ci,lower_ci
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,3.0773333519003536,4.681775873393496,2.0121994343587786
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Number,2001,1325943.115055867,1801293.2963771145,973969.8789117218
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Percent,2001,0.0020802470098628,0.0027812668137704,0.0015443041604321
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Rate,2001,192.66105920488016,261.7299871149021,141.5189432895657
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2001,166907.21026070107,215470.1928048542,131833.05267808863
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0002618753521393,0.0003291191422422,0.0002106861797446
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2001,24.25180956303954,31.3080667650768,19.1554941375469
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,1124690.4085345443,1598548.8650245965,799497.7003795028
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0017658185485049,0.0024936385400312,0.0012719526657054
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,163.418809544258,232.2709881211017,116.16793513837212
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,297431.379278031,431033.2190586633,187311.07242691872
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.004075408768687,0.0052222824603625,0.0030896440728586
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,43.2171213997,62.62962233702,27.21651419642
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Number,2001,539948.3510278113,873613.6899860938,332843.0288395474
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Percent,2001,0.0073806708676228,0.0094555590392433,0.0053695146476136
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Rate,2001,78.45511624423,126.93707364777,48.36247479778
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2001,83931.61821685082,129159.91652833662,54054.11465542691
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0011545409026175,0.001560235971327,0.0007801053030353
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2001,12.19536063261,18.76708438137,7.85412501158
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Number,2001,785994.7640280545,1142958.1610992104,504697.2963733296
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Percent,2001,0.0013939153815245,0.0020289610124696,0.0008898395895833
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Rate,2001,114.20594296064873,166.07313499641202,73.33309747079774
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2001,82975.59204385024,104732.29069086393,65603.05463414919
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0001471604039129,0.0001863880590171,0.0001163985859935
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2001,12.056448930425391,15.21772225998179,9.532199269618198
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,827259.029256513,1257599.9375369507,535860.7384036289
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0014671927140069,0.0022423443525487,0.0009517008131364
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,120.20168814455184,182.7307169294752,77.86118142994584
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,5831440.932136696,7552561.134732172,4463191.757943109
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0085424515805865,0.0110575588894226,0.0065339835463231
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,847.3150725088301,1097.39581691315,648.50689426716
