country,iso3,year,maternal_mortality_ratio,district_hospitals_per_100000,physicians_per_10000
Gambia,GMB,2013,,0.38,
Gambia,GMB,2023,354.4,,0.9
Gambia,GMB,2023,290.9,,0.9
Ghana,GHA,2013,,1.3,
Ghana,GHA,2023,234.3,,
Ghana,GHA,2023,2083.0,,
Ghana,GHA,2024,,,2.89
Guinea,GIN,2013,,0.26,
Guinea,GIN,2023,494.1,,
Guinea,GIN,2023,2409.0,,
Guinea,GIN,2024,,,1.15
Guinea-Bissau,GNB,2013,,25.64,
Guinea-Bissau,GNB,2023,505.4,,
Guinea-Bissau,GNB,2023,326.9,,
Guinea-Bissau,GNB,2024,,,2.49
Kenya,KEN,2013,,1.41,
Kenya,KEN,2023,378.8,,
Kenya,KEN,2023,5682.0,,
Kenya,KEN,2024,,,2.6
Lesotho,LSO,2023,478.0,,
Lesotho,LSO,2023,266.4,,
Lesotho,LSO,2024,,,1.84
Liberia,LBR,2013,,0.35,
Liberia,LBR,2022,,,1.78
Liberia,LBR,2023,627.7,,
Liberia,LBR,2023,1068.0,,
Madagascar,MDG,2013,,0.33,
Madagascar,MDG,2023,445.4,,
Madagascar,MDG,2023,4460.0,,
Madagascar,MDG,2024,,,1.03
Malawi,MWI,2013,,0.23,
Malawi,MWI,2023,225.0,,
Malawi,MWI,2023,1490.0,,
Malawi,MWI,2024,,,0.84
Mali,MLI,2013,,0.39,
Mali,MLI,2023,367.3,,
Mali,MLI,2023,3495.0,,
Mali,MLI,2024,,,3.17
Mauritania,MRT,2013,,0.69,
Mauritania,MRT,2022,,,2.61
Mauritania,MRT,2023,381.1,,
Mauritania,MRT,2023,658.8,,
Mauritius,MUS,2013,,0.16,
Mauritius,MUS,2023,65.9,,30.15
Mauritius,MUS,2023,7.78,,30.15
Mozambique,MOZ,2023,82.22,,
Mozambique,MOZ,2023,1037.0,,
Mozambique,MOZ,2024,,,0.91
Namibia,NAM,2013,,1.3,
Namibia,NAM,2023,138.9,,
Namibia,NAM,2023,106.5,,
Namibia,NAM,2024,,,5.58
Niger,NER,2013,,0.43,
Niger,NER,2023,350.3,,0.38
Niger,NER,2023,3839.0,,0.38
Nigeria,NGA,2023,992.8,,
Nigeria,NGA,2023,74559.0,,
Nigeria,NGA,2024,,,4.14
Rwanda,RWA,2023,229.5,,
Rwanda,RWA,2023,907.8,,
Rwanda,RWA,2024,,,1.77
Sao Tome and Principe,STP,2013,,0.0,
Sao Tome and Principe,STP,2022,,,4.64
Sao Tome and Principe,STP,2023,75.36,,
Sao Tome and Principe,STP,2023,4.9,,
Senegal,SEN,2013,,0.16,
Senegal,SEN,2023,237.4,,
Senegal,SEN,2023,1263.0,,
Senegal,SEN,2024,,,1.24
Seychelles,SYC,2010,,0.0,
Seychelles,SYC,2023,41.89,,
Seychelles,SYC,2023,0.73,,
